Director,PA,BB,AB,OUTS,H,1B,2B,3B,HR,BA,OBP,SLG,OPS,WAR,WAR/PA,Scaled WAR,Scaled WAR/PA,Average Composite Score,Bucket,Composite Score+,Standard Deviation,Coefficient of Variation,Adjusted StDev,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Best Top 2 Overall Score,Out Rate,BB Rate,1B Rate,2B Rate,3B Rate,HR Rate,XBH,XBH Rate,Eligible
Aaron Seltzer & Jason Friedberg,8,0,8,8,0,0,0,0,0,0.0,0.0,0.0,0.0,-380.4,-47.55,-38.35,-4.79,7.45,OUT,14.0,3.2,0.4242,8.0,9.3,Vampires Suck → Best Night Ever,9.2,Best Night Ever → The Starving Games → Superfast!,8.2,Meet the Spartans → Vampires Suck → Best Night Ever → The Starving Games → Superfast!,13.6,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True
Adam McKay,8,4,4,2,2,1,1,0,0,0.5,0.75,0.75,1.5,46.4,5.8,4.68,0.58,60.8,BB,113.9,10.5,0.1732,12.6,72.2,The Big Short → Vice,65.6,The Big Short → Vice → Don't Look Up,,,84.0,0.25,0.5,0.125,0.125,0.0,0.0,1,0.125,True
Adrian Lyne,9,1,8,7,1,1,0,0,0,0.125,0.222,0.125,0.347,-89.7,-9.97,-9.04,-1.0,45.03,OUT,77.9,16.5,0.3655,16.2,67.4,Fatal Attraction → Jacob's Ladder,56.6,Fatal Attraction → Jacob's Ladder → Indecent Proposal,53.5,Fatal Attraction → Jacob's Ladder → Indecent Proposal → Lolita → Unfaithful,76.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0,0.0,True
Akira Kurosawa,30,3,27,2,25,9,4,7,5,0.926,0.933,2.148,3.081,705.7,23.52,71.15,2.37,78.52,1B,125.2,16.7,0.2133,16.6,97.5,Ikiru → Seven Samurai,92.9,Yojimbo → Sanjuro → High and Low,92.0,The Hidden Fortress → The Bad Sleep Well → Yojimbo → Sanjuro → High and Low,98.8,0.06666666666666667,0.1,0.3,0.13333333333333333,0.23333333333333334,0.16666666666666666,16,0.5333333333333333,True
Alan J. Pakula,16,1,15,11,4,3,0,1,0,0.267,0.313,0.4,0.713,-60.7,-3.79,-6.12,-0.38,51.21,OUT,84.8,17.3,0.3381,17.0,78.7,The Parallax View → All the President's Men,69.2,Love and Pain and the Whole Damn Thing → The Parallax View → All the President's Men,,,89.0,0.6875,0.0625,0.1875,0.0,0.0625,0.0,1,0.0625,True
Alan Taylor,5,1,4,4,0,0,0,0,0,0.0,0.2,0.0,0.2,-40.5,-8.1,-4.08,-0.82,46.9,OUT,85.6,11.7,0.2502,13.8,57.1,Palookaville → The Emperor's New Clothes,53.4,Palookaville → The Emperor's New Clothes → Thor: Dark World,46.9,Palookaville → The Emperor's New Clothes → Thor: Dark World → Terminator Genisys → The Many Saints of Newark,59.9,0.8,0.2,0.0,0.0,0.0,0.0,0,0.0,True
Alejandro G. Inarritu,7,1,6,0,6,3,2,1,0,1.0,1.0,1.667,2.667,153.9,21.99,15.52,2.22,76.99,1B,142.8,11.2,0.1456,13.1,83.9,Amores Perros → 21 Grams,81.2,Biutiful → Birdman or (The Unexpected Virtue of Ignorance) → The Revenant,79.8,Amores Perros → 21 Grams → Babel → Biutiful → Birdman or (The Unexpected Virtue of Ignorance),90.8,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,3,0.42857142857142855,True
Alex Garland,5,1,4,1,3,2,1,0,0,0.75,0.8,1.0,1.8,54.3,10.86,5.47,1.09,65.86,1B,125.2,14.2,0.2155,15.0,74.4,Ex Machina → Annihilation,64.0,Ex Machina → Annihilation → Men,65.9,Ex Machina → Annihilation → Men → Civil War → Warfare,81.3,0.2,0.2,0.4,0.2,0.0,0.0,1,0.2,True
Alfonso Cuaron,8,1,7,1,6,0,6,0,0,0.857,0.875,1.714,2.589,176.3,22.04,17.78,2.22,77.04,1B,139.8,15.5,0.2011,15.6,88.0,Harry Potter and the Prisoner of Azkaban → Children of Men,87.6,Y Tu Mama Tambien → Harry Potter and the Prisoner of Azkaban → Children of Men,85.9,Y Tu Mama Tambien → Harry Potter and the Prisoner of Azkaban → Children of Men → Gravity → Roma,88.9,0.125,0.125,0.0,0.75,0.0,0.0,6,0.75,True
Alfred Hitchcock ,53,4,49,19,30,16,7,3,4,0.612,0.642,1.122,1.764,532.6,10.05,53.7,1.01,65.05,1B,107.1,20.0,0.30760000000000004,19.6,95.6,North by Northwest → Pyscho,95.2,Vertigo → North by Northwest → Pyscho,,,97.7,0.3584905660377358,0.07547169811320754,0.3018867924528302,0.1320754716981132,0.05660377358490566,0.07547169811320754,14,0.2641509433962264,True
Andrei Tarkovsky,7,0,7,0,7,1,1,5,0,1.0,1.0,2.571,3.571,222.4,31.77,22.42,3.2,86.77,2B,140.2,7.2,0.0834,10.8,91.9,Ivan's Childhood → Andrei Rublev,91.1,Ivan's Childhood → Andrei Rublev → Solaris,90.4,Ivan's Childhood → Andrei Rublev → Solaris → Mirror → Stalker,93.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,6,0.8571428571428571,True
Andrew Stanton,6,0,6,2,4,2,0,1,1,0.667,0.667,1.5,2.167,76.2,12.7,7.68,1.28,67.7,1B,125.3,24.9,0.3674,20.8,92.9,Finding Nemo → WALL-E,86.1,A Bug's Life → Finding Nemo → WALL-E,75.0,A Bug's Life → Finding Nemo → WALL-E → John Carter → Finding Dory,94.5,0.3333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,2,0.3333333333333333,True
