Rank,Director,Eligible,Strength,Expected Wins,Expected Win %,PA,WAR,Scaled WAR,WAR/PA,Scaled WAR/PA,BA,OBP,SLG,OPS,HR,3B,2B,1B,BB,OUTS,Out Rate,BB Rate,HR Rate,XBH,XBH Rate,Best Top 2 Overall Score,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Career_Value,Rate_Quality,Peak,Profile
1,Satyajit Ray,True,1.988068,299.208286,0.850024,29,863.8,87.09,29.79,3.0,1.0,1.0,2.407,3.407,3,10,9,5,2,0,0.0,0.068966,0.103448,22,0.758621,96.4,94.2,Pather Panchali → Aparajito,92.4,The Adventures of Goopy and Bagha → Days and Nights in the Forest → The Adversary,89.0,The Adventures of Goopy and Bagha → Days and Nights in the Forest → The Adversary → Company Limited → Distant Thunder,2.361148,1.917068,1.473847,2.159974
2,Hayao Miyazaki,True,1.837093,292.627878,0.831329,12,399.7,40.3,33.31,3.36,1.0,1.0,2.5,3.5,1,4,7,0,0,0,0.0,0.0,0.083333,12,1.0,97.0,94.4,Princess Mononoke → Spirited Away,93.3,Princess Mononoke → Spirited Away → Howl's Moving Castle,90.8,My Neighbor Totoro → Kiki's Delivery Service → Porco Rosso → Princess Mononoke → Spirited Away,1.516369,2.174422,1.56539,2.236148
3,Akira Kurosawa,True,1.764564,289.263826,0.821772,30,705.7,71.15,23.52,2.37,0.926,0.933,2.148,3.081,5,7,4,9,3,2,0.066667,0.1,0.166667,16,0.533333,98.8,97.5,Ikiru → Seven Samurai,92.9,Yojimbo → Sanjuro → High and Low,92.0,The Hidden Fortress → The Bad Sleep Well → Yojimbo → Sanjuro → High and Low,2.107158,1.458656,1.613896,1.821395
4,Andrei Tarkovsky,True,1.653343,283.848745,0.806388,7,222.4,22.42,31.77,3.2,1.0,1.0,2.571,3.571,0,5,1,1,0,0,0.0,0.0,0.0,6,0.857143,93.0,91.9,Ivan's Childhood → Andrei Rublev,91.1,Ivan's Childhood → Andrei Rublev → Solaris,90.4,Ivan's Childhood → Andrei Rublev → Solaris → Mirror → Stalker,1.059649,2.06183,1.444523,2.294302
5,Christopher Nolan,True,1.632722,282.810737,0.80344,12,348.7,35.16,29.06,2.93,1.0,1.0,2.167,3.167,1,3,5,3,0,0,0.0,0.0,0.083333,9,0.75,95.2,92.5,The Dark Knight → Inception,90.6,The Prestige → The Dark Knight → Inception,89.3,The Prestige → The Dark Knight → Inception → The Dark Knight Rises → Interstellar,1.397849,1.863696,1.419057,1.963395
6,Stanley Kubrick,True,1.562938,279.219476,0.793237,13,332.8,33.55,25.6,2.58,0.917,0.923,2.25,3.173,2,3,4,2,1,1,0.076923,0.076923,0.153846,9,0.692308,95.8,93.6,Dr. Strangelove → 2001: A Space Odyssey,91.7,Dr. Strangelove → 2001: A Space Odyssey → A Clockwork Orange,90.6,Dr. Strangelove → 2001: A Space Odyssey → A Clockwork Orange → Barry Lyndon → The Shining,1.358965,1.610729,1.499827,1.888047
7,William Wyler,True,1.544218,278.235635,0.790442,26,613.8,61.89,23.61,2.38,1.0,1.0,1.583,2.583,0,3,8,13,2,0,0.0,0.076923,0.0,11,0.423077,93.6,93.2,The Best Years of Our Lives → The Heiress,87.5,The Best Years of Our Lives → The Heiress → Detective Story,85.5,The Letter → The Little Foxes → Mrs. Miniver → The Best Years of Our Lives → The Heiress,1.946347,1.465236,1.187978,1.485054
8,Quentin Tarantino,True,1.509008,276.361725,0.785119,10,287.4,28.98,28.74,2.9,1.0,1.0,2.0,3.0,1,2,3,4,0,0,0.0,0.0,0.1,6,0.6,95.4,92.6,Reservoir Dogs → Pulp Fiction,87.2,Reservoir Dogs → Pulp Fiction → Jackie Brown,86.8,Reservoir Dogs → Pulp Fiction → Jackie Brown → Kill Bill: Vol. 1 → Kill Bill: Vol. 2,1.243195,1.8403,1.24261,1.826609
9,Billy Wilder,True,1.493233,275.512346,0.782706,25,510.1,51.43,20.4,2.06,0.909,0.92,1.773,2.693,4,2,3,11,3,2,0.08,0.12,0.16,9,0.36,96.1,94.8,Some Like It Hot → The Apartment,94.0,Witness for the Prosecution → Some Like It Hot → The Apartment,87.1,"Witness for the Prosecution → Some Like It Hot → The Apartment → One, Two, Three → Irma la Douce",1.749433,1.230546,1.453344,1.487153
10,Pete Docter,True,1.483262,274.972327,0.781171,4,132.0,13.31,33.0,3.33,1.0,1.0,2.5,3.5,0,2,2,0,0,0,0.0,0.0,0.0,4,1.0,91.8,90.9,"Monsters, Inc. → Up",88.7,"Monsters, Inc. → Up → Inside Out",,,0.752001,2.151758,1.089971,2.236148
11,Lee Unkrich,True,1.472936,274.410512,0.779575,2,72.8,7.34,36.4,3.67,1.0,1.0,3.0,4.0,0,2,0,0,0,0,0.0,0.0,0.0,2,1.0,92.7,91.4,Toy Story 3 → Coco,,,,,0.486153,2.400339,0.791471,2.645687
